project_name,listing_title,price,location_zone,bts_mrt,size_sqm,bedrooms,bathrooms,listing_url,post_type,property_type,page_number
The Bloom Sukhumvit 71,🍀🍀🍀 BEST DEAL🔥 For Rent 📌 The Bloom Sukhumvit 71 (Line: @rent2022) ✨ Great value | Ready to move in! ✨📌 Ref Code: A07760,"14,000 THB/month","Bangkok, Watthana Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/best-deal-for-rent-the-bloom-sukhumvit-71-line-rent2022-great-value-ready-to-move-in-ref-code-a07760,FOR_RENT,CONDO,1
Knightsbridge Phaholyothin Interchange ,1 Bed 1 Bath 34 SQ.M Knightsbridge Phaholyothin,"20,000 THB/month","Bangkok, Bang Khen Bangkok",,34.7,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-1-bath-34-sq-m-knightsbridge-phaholyothin--aca30943,FOR_RENT,CONDO,1
Knightsbridge Prime Sathorn,Condo for rent near BTS Chong Nonsi | KnightsBridge Prime Sathorn | 1 bedroom Duplex city view | near Empire Tower,"28,000 THB/month","Bangkok, Sathon Bangkok",BTS Chong Nonsi,39.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-near-bts-chong-nonsi-knightsbridge-prime-sathorn-1-bedroom-duplex-city-view-near-empire-tower,FOR_RENT,CONDO,1
Aspen Condo Lasalle Phase C,❗️We have several rooms available at Aspen Condo Lasalle (opposite Sikarin Hospital). 🚝10 minutes to BTS Bearing + 🚅500 meters to MRT Sri Lasalle.,"8,500 THB/month","Bangkok, Bang Na Bangkok",BTS Bearing + 🚅500 meters to MRT Sri Lasalle.,27.0,1.0,1.0,https://propertyhub.in.th/en/listings/️we-have-several-rooms-available-at-aspen-condo-lasalle-opposite-sikarin-hospital-10-minutes-to-bts-bearing-500-meters-to-mrt-sri-lasalle,FOR_RENT,CONDO,1
Denim Jatujak,❤️‍🔥🏙️ Ready to move in with just your suitcase! Denim Jatujak boasts amazing common areas and is only 5 minutes from BTS and MRT Chatuchak. 🚄,"13,000 THB/month","Bangkok, Chatuchak Bangkok",BTS and MRT Chatuchak. 🚄,23.0,1.0,1.0,https://propertyhub.in.th/en/listings/️‍️-ready-to-move-in-with-just-your-suitcase-denim-jatujak-boasts-amazing-common-areas-and-is-only-5-minutes-from-bts-and-mrt-chatuchak,FOR_RENT,CONDO,1
Noble Ploenchit,🔥Hot Deal 30K🔥 - Studio Unit with Garden view Next to BTS Phloen Chit at Noble Ploenchit Condo / For Rent,"30,000 THB/month","Bangkok, Pathum Wan Bangkok",BTS Phloen Chit at Noble Ploenchit Condo / For Rent,44.97,1.0,1.0,https://propertyhub.in.th/en/listings/hot-deal-30k-studio-unit-with-garden-view-next-to-bts-phloen-chit-at-noble-ploenchit-condo-for-rent,FOR_RENT,CONDO,1
Supalai Veranda Rama 9,🌌 Condo For Rent Supalai Veranda Rama 9 🌌,"15,000 THB/month","Bangkok, Huai Khwang Bangkok",,37.5,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-supalai-veranda-rama-9--b711096b,FOR_RENT,CONDO,1
THE MUVE Bangna,"For rent ✨ THE MUVE Bangna ✨ Fully furnished and equipped, near BTS Sri Eiam","7,500 THB/month","Bangkok, Bang Plee Samut Prakarn",BTS Sri Eiam,23.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-the-muve-bangna-fully-furnished-and-equipped-near-bts-sri-eiam--a5000910,FOR_RENT,CONDO,1
Nue Noble Srinakarin - Lasalle,"🔥Condo close to MRT Sri Lasalle, super cheap🔥 Nue Noble Srinakarin (RENT) 9,000","9,000 THB/month","Bangkok, Muang Samut Prakarn Samut Prakarn",MRT Sri Lasalle,27.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-close-to-mrt-sri-lasalle-super-cheap-nue-noble-srinakarin-rent-9-000,FOR_RENT,CONDO,1
Life Asoke - Rama 9,For Rent ! Condo Life asoke rama9,"15,000 THB/month","Bangkok, Ratchathewi Bangkok",,28.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-condo-life-asoke-rama9--a29f08de,FOR_RENT,CONDO,1
The President Charan - Yaek Fai Chai Station,❄️ Condo For Rent The President Charan - Yaek Fai Chai ❄️,"15,000 THB/month","Bangkok, Bangkok Noi Bangkok",,32.25,1.0,1.0,https://propertyhub.in.th/en/listings/️-condo-for-rent-the-president-charan-yaek-fai-chai-️,FOR_RENT,CONDO,1
Condolette Midst Rama 9,For Rent Ready to move in 15 June 2026 Condolette Midst Rama9 Fully Furnished,"24,999 THB/month","Bangkok, Huai Khwang Bangkok",,56.0,2.0,2.0,https://propertyhub.in.th/en/listings/for-rent-ready-to-move-in-15-june-2026-condolette-midst-rama9-fully-furnished,FOR_RENT,CONDO,1
Supalai Wellington II,"New condo for rent , near MRT Cultural Center | Supalai Wellington II: 1 bedroom, fully furnished, ready to move in, near Big C Ratchadaphisek","35,000 THB/month","Bangkok, Huai Khwang Bangkok",MRT Cultural Center,68.0,2.0,1.0,https://propertyhub.in.th/en/listings/new-condo-for-rent-near-mrt-cultural-center-supalai-wellington-ii-1-bedroom-fully-furnished-ready-to-move-in-near-big-c-ratchadaphisek,FOR_RENT,CONDO,1
NIA by Sansiri,"For Rent 🔥 NIA by Sansiri 🔥 Fully Furnished and Equipped with Appliances, Near BTS Phra Khanong.","15,000 THB/month","Bangkok, Watthana Bangkok",BTS Phra Khanong.,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-nia-by-sansiri-fully-furnished-and-equipped-with-appliances-near-bts-phra-khanong,FOR_RENT,CONDO,1
Maestro 12 Ratchathewi,1 Bedroom 1 Bathroom 31 SQ.M at Maestro 12,"25,000 THB/month","Bangkok, Ratchathewi Bangkok",,31.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-bedroom-1-bathroom-31-sq-m-at-maestro-12--a1120909,FOR_RENT,CONDO,1
Regent Home Sukhumvit 81,"🔥🔥Pin this beautiful room, BTS On Nut ""Regent Home Sukhumvit 81"" Lotus & Century On Nut, convenient travel🔥🔥","10,000 THB/month","Bangkok, Suan Luang Bangkok","BTS On Nut ""Regent Home Sukhumvit 81"" Lotus & Century On Nut",28.0,1.0,1.0,https://propertyhub.in.th/en/listings/pin-this-beautiful-room-bts-on-nut-regent-home-sukhumvit-81-lotus-century-on-nut-convenient-travel,FOR_RENT,CONDO,1
NICHE MONO CHAROEN NAKORN,"For Rent 🔥 NICHE MONO CHAROEN NAKORN 🔥 Fully furnished and equipped with appliances, near BTS Krung Thon Buri.","13,000 THB/month","Bangkok, Thon Buri Bangkok",BTS Krung Thon Buri.,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-niche-mono-charoen-nakorn-fully-furnished-and-equipped-with-appliances-near-bts-krung-thon-buri,FOR_RENT,CONDO,1
XT HUAIKHWANG,"Condo for rent XT Huaikwang, complete furniture and electrical appliances. There are many rooms, very beautiful rooms.","15,000 THB/month","Bangkok, Huai Khwang Bangkok",,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-xt-huaikwang-complete-furniture-and-electrical-appliances-there-are-many-rooms-very-beautiful-rooms--a9f90942,FOR_RENT,CONDO,1
The Livin Ramkhamhaeng,"For rent 📍 The Livin Ramkhamhaeng 📍 Fully furnished and equipped, near MRT Lam Sali","14,000 THB/month","Bangkok, Bang Kapi Bangkok",MRT Lam Sali,33.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-the-livin-ramkhamhaeng-fully-furnished-and-equipped-near-mrt-lam-sali,FOR_RENT,CONDO,1
Noble BE 19,🔥23.5K🔥 - 1 Bed New Room 34 sq.m. High Fl. Good Location Close to BTS Asok & MRT Sukhumvit 550 m. at Noble BE19 Condo / For Rent,"23,500 THB/month","Bangkok, Watthana Bangkok",BTS Asok & MRT Sukhumvit 550 m. at Noble BE19 Condo / For Rent,34.0,1.0,1.0,https://propertyhub.in.th/en/listings/23-5k-1-bed-new-room-34-sq-m-high-fl-good-location-close-to-bts-asok-mrt-sukhumvit-550-m-at-noble-be19-condo-for-rent,FOR_RENT,CONDO,1
THE MUVE Ram 22,"For rent 📣 THE MUVE Ram 22 📣 Beautiful room, furniture, complete electrical appliances, near MRT Ramkhamhaeng.","9,000 THB/month","Bangkok, Bang Kapi Bangkok",MRT Ramkhamhaeng.,24.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-the-muve-ram-22-beautiful-room-furniture-complete-electrical-appliances-near-mrt-ramkhamhaeng,FOR_RENT,CONDO,1
Ashton Asoke - Rama 9,"Best price with a privacy, located at the center of Rama9- Ashton asoke rama9","23,000 THB/month","Bangkok, Din Daeng Bangkok",,33.0,1.0,1.0,https://propertyhub.in.th/en/listings/best-price-with-a-privacy-located-at-the-center-of-rama9-ashton-asoke-rama9,FOR_RENT,CONDO,1
Regent Home Wutthakat,"Regent Home Wutthakat | Price 10,000 THB | Beautiful room, great location, fully furnished, ready to move in.","10,000 THB/month","Bangkok, Thon Buri Bangkok",,27.0,1.0,1.0,https://propertyhub.in.th/en/listings/regent-home-wutthakat-price-10-000-thb-beautiful-room-great-location-fully-furnished-ready-to-move-in--b0d5093d,FOR_RENT,CONDO,1
Aspire Rama 4,For Rent Aspire Rama 4 Near BTS Ekamai 800 meter,"12,000 THB/month","Bangkok, Khlong Toei Bangkok",BTS Ekamai 800 meter,28.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-aspire-rama-4-near-bts-ekamai-800-meter,FOR_RENT,CONDO,1
Modiz Station ,"Modiz station for rent only 10,000 Baht","10,000 THB/month","Bangkok, Bang Khen Bangkok",,27.0,1.0,1.0,https://propertyhub.in.th/en/listings/modiz-station-for-rent-only-10-000-baht,FOR_RENT,CONDO,1
Whizdom Station Ratchada - Thapra ,🔊🔊🔊 For rent : Whizdom Station Ratchada - Thapra ! a room is so cute !!!🧸,"14,000 THB/month","Bangkok, Thon Buri Bangkok",,28.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-whizdom-station-ratchada-thapra-a-room-is-so-cute,FOR_RENT,CONDO,1
Niche Mono Ramkhamhaeng,For rent 📌 Niche Mono Ramkhamhaeng 📌 Complete furniture and electrical appliances. Ready to move in,"12,000 THB/month","Bangkok, Bang Kapi Bangkok",,28.6,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-niche-mono-ramkhamhaeng-complete-furniture-and-electrical-appliances-ready-to-move-in,FOR_RENT,CONDO,1
THE LINE Phahon - Pradipat,"Condo for rent near BTS Saphan Khwai | The Line Phahon-Pradipat | 1 bedroom, high floor, fully furnished, ready to move in, near the expressway.","18,500 THB/month","Bangkok, Phaya Thai Bangkok",BTS Saphan Khwai,28.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-near-bts-saphan-khwai-the-line-phahon-pradipat-1-bedroom-high-floor-fully-furnished-ready-to-move-in-near-the-expressway,FOR_RENT,CONDO,1
THE LINE Phahonyothin Park,1 Bed 1 Bath  36 SQM.  THE LINE Phahonyothin Park,"18,000 THB/month","Bangkok, Chatuchak Bangkok",,36.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-1-bath-36-sqm-the-line-phahonyothin-park--aa5a091e,FOR_RENT,CONDO,1
Life Asoke Hype,"Life Asoke Hype | Price 23,000 THB | Beautiful room, great location, fully furnished, ready to move in.","23,000 THB/month","Bangkok, Ratchathewi Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/life-asoke-hype-price-23-000-thb-beautiful-room-great-location-fully-furnished-ready-to-move-in--b72f0a37,FOR_RENT,CONDO,1
CELES Asoke,📍 Condo For Rent Celes Asoke 🚈 Near MRT Sukhumvit and BTS Asoke !!,"130,000 THB/month","Bangkok, Watthana Bangkok",MRT Sukhumvit and BTS Asoke !!,86.0,2.0,2.0,https://propertyhub.in.th/en/listings/condo-for-rent-celes-asoke-near-mrt-sukhumvit-and-bts-asoke--c44a0a3b,FOR_RENT,CONDO,1
Zenith Place @ Sukhumvit,Zenith place Sukhumvit 71 ☎️1 bed 40 sqm ‼️14000/month ‼️NOW AVAILABLE 🔆✅,"14,000 THB/month","Bangkok, Watthana Bangkok",,40.0,1.0,1.0,https://propertyhub.in.th/en/listings/zenith-place-sukhumvit-71-️1-bed-40-sqm-️14000-month-️now-available,FOR_RENT,CONDO,1
I CONDO Sukhumvit 105,"Room width 31+ sq.m., separate bedroom (with washing machine) 7,000/month 🔥 I-Condo Sukhumvit 105 Soi Lasalle (for rent)","7,000 THB/month","Bangkok, Bang Na Bangkok",,31.0,1.0,1.0,https://propertyhub.in.th/en/listings/room-width-31-sq-m-separate-bedroom-with-washing-machine-7-000-month-i-condo-sukhumvit-105-soi-lasalle-for-rent,FOR_RENT,CONDO,1
H 1 Onnut - Ladkrabang,H1 Onnut - Ladkrabang Condo for rent Resort style,"14,000 THB/month","Bangkok, Lat Krabang Bangkok",,28.0,1.0,1.0,https://propertyhub.in.th/en/listings/h1-onnut-ladkrabang-condo-for-rent-resort-style,FOR_RENT,CONDO,1
THE ORIGIN ONNUT,"🔥Newly renovated apartment at ""The Origin Onnut,"" 5 minutes from BTS Onnut, near People Park food mall, and conveniently located in the city.","10,000 THB/month","Bangkok, Suan Luang Bangkok",BTS Onnut,22.0,1.0,1.0,https://propertyhub.in.th/en/listings/newly-renovated-apartment-at-the-origin-onnut-5-minutes-from-bts-onnut-near-people-park-food-mall-and-conveniently-located-in-the-city,FOR_RENT,CONDO,1
Lumpini Place Rama 3 - Riverine,For Rent ✨ Lumpini Place Rama 3 - Riverine ✨ Fully furnished with appliances. 600 meters from BRT Wat Dan station.,"10,500 THB/month","Bangkok, Yan Nawa Bangkok",,29.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-lumpini-place-rama-3-riverine-fully-furnished-with-appliances-600-meters-from-brt-wat-dan-station,FOR_RENT,CONDO,1
Modiz Station ,"Modiz station 2 bed for rent only 12,500 Baht","12,500 THB/month","Bangkok, Bang Khen Bangkok",,35.0,2.0,1.0,https://propertyhub.in.th/en/listings/modiz-station-2-bed-for-rent-only-12-500-baht,FOR_RENT,CONDO,1
IDEO Ratchada - Huaykwang,"Ideo condo for rent, size 35 sq.m., price 14,900, furniture, electrical appliances, ready to move in !!!","14,900 THB/month","Bangkok, Huai Khwang Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/ideo-condo-for-rent-size-35-sq-m-price-14-900-furniture-electrical-appliances-ready-to-move-in,FOR_RENT,CONDO,1
XT HUAIKHWANG,Condo for rent: XT Huaikwang 🍁Full furniture and electrical appliances 🍁There are many rooms of various sizes 🍁The room is very beautiful,"18,000 THB/month","Bangkok, Huai Khwang Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-xt-huaikwang-full-furniture-and-electrical-appliances-there-are-many-rooms-of-various-sizes-the-room-is-very-beautiful--b166094e,FOR_RENT,CONDO,1
Aspire Sukhumvit 48,Forent Aspire Sukhumvir 48 Size 1 Bedroom,"14,000 THB/month","Bangkok, Khlong Toei Bangkok",,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/forent-aspire-sukhumvir-48-size-1-bedroom,FOR_RENT,CONDO,1
Origin place bangna,🍃 Condo For Rent Origin place bangna 🍃,"14,000 THB/month","Bangkok, Bang Na Bangkok",,28.5,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-origin-place-bangna--ab14094a,FOR_RENT,CONDO,1
Tourmaline Lite Sathorn - Taksin,"Walk distance to BTS krungthonburi, 1 bedroom fully furnished","10,000 THB/month","Bangkok, Khlong San Bangkok",BTS krungthonburi,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/walk-distance-to-bts-krungthonburi-1-bedroom-fully-furnished,FOR_RENT,CONDO,1
Belle Grand Rama 9 (Belle Avenue),🫧 Condo For Rent Belle Grand Rama 9 🫧,"35,000 THB/month","Bangkok, Huai Khwang Bangkok",,67.0,2.0,1.0,https://propertyhub.in.th/en/listings/🫧-condo-for-rent-belle-grand-rama-9-🫧,FOR_RENT,CONDO,1
Magnolias Waterfront Residences,"Sale/Rent Magnolias Waterfront Residences ICONSIAM, high floor (30th and up), fully furnished, beautiful and luxurious @120,000 Baht.","120,000 THB/month","Bangkok, Khlong San Bangkok",,102.55,2.0,2.0,https://propertyhub.in.th/en/listings/sale-rent-magnolias-waterfront-residences-iconsiam-high-floor-30th-and-up-fully-furnished-beautiful-and-luxurious-120-000-baht,FOR_RENT,CONDO,1
Centric Scene Sukhumvit 64,Centric scene sukhumvit 64 ☎️big 2 bed 2 bath 73 sqm ‼️only 25000/month ‼️NOW AVAILABLE 🔆✅,"25,000 THB/month","Bangkok, Phra Khanong Bangkok",,73.0,2.0,2.0,https://propertyhub.in.th/en/listings/centric-scene-sukhumvit-64-️big-2-bed-2-bath-73-sqm-️only-25000-month-️now-available,FOR_RENT,CONDO,1
Life Sukhumvit 62,"Life sukhumvit 62 ☎️big 2 bed 2 bath 68 sqm ‼️only 36,000/month ‼️NOW AVAILABLE 🔆✅","36,000 THB/month","Bangkok, Phra Khanong Bangkok",,68.0,2.0,2.0,https://propertyhub.in.th/en/listings/life-sukhumvit-62-️big-2-bed-2-bath-68-sqm-️only-36-000-month-️now-available,FOR_RENT,CONDO,1
Life Ladprao Valley,Life Ladprao Valley Opposite Central Ladprao (Next to BTS & MRT 🚇),"17,000 THB/month","Bangkok, Chatuchak Bangkok",BTS & MRT 🚇),28.58,1.0,1.0,https://propertyhub.in.th/en/listings/life-ladprao-valley-opposite-central-ladprao-next-to-bts-mrt,FOR_RENT,CONDO,1
THE MUVE Bangna,"🔥 Giants for rent 🔥 New condo, The Muve Bangna 🚄 Near MRT Yellow Line !! Full set of built-in furniture for rent at a price of 8,000 baht only ❗❗","8,000 THB/month","Bangkok, Bang Plee Samut Prakarn",MRT Yellow Line !! Full set of built-in furniture for rent at a,23.0,1.0,1.0,https://propertyhub.in.th/en/listings/giants-for-rent-new-condo-the-muve-bangna-near-mrt-yellow-line-full-set-of-built-in-furniture-for-rent-at-a-price-of-8-000-baht-only,FOR_RENT,CONDO,1
Rhythm Asoke,For Rent! Hot Deal RHYTHM ASOKE 1,"13,000 THB/month","Bangkok, Ratchathewi Bangkok",,22.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-hot-deal-rhythm-asoke-1,FOR_RENT,CONDO,1
Origin place bangna,For Rent 🔥 Origin Place Bangna 🔥 Ready-to-move-in room. Free WiFi. Fully furnished with appliances!,"13,000 THB/month","Bangkok, Bang Na Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-origin-place-bangna-ready-to-move-in-room-free-wifi-fully-furnished-with-appliances--a2b80930,FOR_RENT,CONDO,1
IDEO Verve Sukhumvit,Ideo verve sukhumvit ☎️2 bed 2 bath 70 sqm ‼️only 27000/month ‼️Best price🔆✅,"27,000 THB/month","Bangkok, Khlong Toei Bangkok",,70.0,2.0,2.0,https://propertyhub.in.th/en/listings/ideo-verve-sukhumvit-️2-bed-2-bath-70-sqm-️only-27000-month-️best-price,FOR_RENT,CONDO,2
Life One Wireless,35 Sqm 1 Bed Life One Wireless,"25,000 THB/month","Bangkok, Pathum Wan Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/35-sqm-1-bed-life-one-wireless,FOR_RENT,CONDO,2
Life Asoke - Rama 9,"For rent: Life Asoke Rama9, new room, 40 sqm, 2 bedrooms,","22,000 THB/month","Bangkok, Ratchathewi Bangkok",,40.0,2.0,1.0,https://propertyhub.in.th/en/listings/for-rent-life-asoke-rama9-new-room-40-sqm-2-bedrooms--b0ca099b,FOR_RENT,CONDO,2
OKA HAUS Sukhumvit 36,17K Only!!🔥 Best Price Oka Haus High Floor 27 sqm Only 18K Condo Near BTS Thonglor,"17,000 THB/month","Bangkok, Khlong Toei Bangkok",BTS Thonglor,27.0,1.0,1.0,https://propertyhub.in.th/en/listings/17k-only-best-price-oka-haus-high-floor-27-sqm-only-18k-condo-near-bts-thonglor,FOR_RENT,CONDO,2
THE MUVE Bangna,"New room for rent, The muve bangna condo 💫 Room size 25 sq m. Built in furniture near Central Bangna, rent 8,000 /month🚨","8,000 THB/month","Bangkok, Bang Plee Samut Prakarn",,25.0,1.0,1.0,https://propertyhub.in.th/en/listings/new-room-for-rent-the-muve-bangna-condo-room-size-25-sq-m-built-in-furniture-near-central-bangna-rent-8-000-month,FOR_RENT,CONDO,2
M Silom,1 Bedroom 1 Bathroom 52.08 Sq.m M Silom,"35,000 THB/month","Bangkok, Bang Rak Bangkok",,52.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-bedroom-1-bathroom-52-08-sq-m-m-silom--c2570a60,FOR_RENT,CONDO,2
RYE Sukhumvit 101/1,"Rye Sukhumvit 101/1 | Price 9,000 THB | Beautiful room, great location, fully furnished, ready to move in.","9,000 THB/month","Bangkok, Phra Khanong Bangkok",,29.0,1.0,1.0,https://propertyhub.in.th/en/listings/rye-sukhumvit-101-1-price-9-000-thb-beautiful-room-great-location-fully-furnished-ready-to-move-in,FOR_RENT,CONDO,2
Lumpini Place Suksawat - Rama 2,📌 Condo For Rent Lumpini Place Suksawat - Rama 2 📌,"7,000 THB/month","Bangkok, Chom Thong Bangkok",,26.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-lumpini-place-suksawat-rama-2--a97f0920,FOR_RENT,CONDO,2
IDEO Q Siam - Ratchathewi,"34 sqm condo on 15th floor at Ideo Q Siam - Ratchathewi, Bangkok","25,000 THB/month","Bangkok, Ratchathewi Bangkok",,34.0,1.0,1.0,https://propertyhub.in.th/en/listings/34-sqm-condo-on-15th-floor-at-ideo-q-siam-ratchathewi-bangkok--adf80994,FOR_RENT,CONDO,2
The Base Phetkasem ,"🔥 Urgent! For rent The Base Phetkasem Special price! 12,500 baht 🔥 💥 ✅ Beautiful room, good condition, ready to move in 📍 Near MRT Phetkasem 48,‼️","12,500 THB/month","Bangkok, Phasi Charoen Bangkok",MRT Phetkasem 48,34.0,1.0,1.0,https://propertyhub.in.th/en/listings/urgent-for-rent-the-base-phetkasem-special-price-12-500-baht-beautiful-room-good-condition-ready-to-move-in-near-mrt-phetkasem-48-️,FOR_RENT,CONDO,2
OKA HAUS Sukhumvit 36,"😊❤️ Condo for rent: Oka Haus Sukhumvit 36. Beautiful room, convenient location near 🚄BTS Thonglor.","20,000 THB/month","Bangkok, Khlong Toei Bangkok",BTS Thonglor.,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/️-condo-for-rent-oka-haus-sukhumvit-36-beautiful-room-convenient-location-near-bts-thonglor,FOR_RENT,CONDO,2
Regent Home Wutthakat,Condo for Rent: Regent Home Wutthakat Only 180 meters from BTS Skytrain Wutthakat Station,"9,900 THB/month","Bangkok, Thon Buri Bangkok",BTS Skytrain Wutthakat Station,26.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-regent-home-wutthakat-only-180-meters-from-bts-skytrain-wutthakat-station--b15f09c6,FOR_RENT,CONDO,2
T.C. Green,"For rent 📍 T.C. Green 📍 Fully furnished with appliances, near MRT Rama 9.","12,000 THB/month","Bangkok, Huai Khwang Bangkok",MRT Rama 9.,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-t-c-green-fully-furnished-with-appliances-near-mrt-rama-9--a28d0924,FOR_RENT,CONDO,2
Life Phahon - Ladprao,"Life Phahon-Ladprao, a condo in a prime location in the heart of Ladprao. 🚆 Close to BTS Ha Yaek Ladprao / MRT Phahonyothin","19,000 THB/month","Bangkok, Chatuchak Bangkok",BTS Ha Yaek Ladprao / MRT Phahonyothin,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/life-phahon-ladprao-a-condo-in-a-prime-location-in-the-heart-of-ladprao-close-to-bts-ha-yaek-ladprao-mrt-phahonyothin,FOR_RENT,CONDO,2
